ID,Nombre_Tarea,Categoria_Principal,Subcategoria,Indoor_Outdoor,Temp_Min,Temp_Max,Tiempo_Estimado_Minutos,Requiere_Ubicacion,API_Categoria,Descripcion
183,Exhibición especial de naturaleza,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Exhibición especial de naturaleza dentro de la categoría de Cultura
184,Juego en equipo de hockey,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Juego en equipo de hockey dentro de la categoría de Deporte
185,Tour privado por museo interactivo,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Tour privado por museo interactivo dentro de la categoría de Cultura
186,Tour privado por museo de la ciencia,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Tour privado por museo de la ciencia dentro de la categoría de Cultura
187,Musical El Rey León,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Musical El Rey León dentro de la categoría de Cultura
188,Visita al museo de arquitectura,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Visita al museo de arquitectura dentro de la categoría de Cultura
189,Sesión de cardio alta,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Sesión de cardio alta dentro de la categoría de Deporte
190,Musical El Fantasma,Cultura,Teatro,Indoor,18,28,30,True,place_category,Explora una emocionante Musical El Fantasma dentro de la categoría de Cultura
191,Demostración de cocina francesa,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Demostración de cocina francesa dentro de la categoría de Gastronomía
192,Exhibición especial de humanidades,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Exhibición especial de humanidades dentro de la categoría de Cultura
193,Taller interactivo en museo nacional,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Taller interactivo en museo nacional dentro de la categoría de Cultura
194,Visita al museo de tecnología,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Visita al museo de tecnología dentro de la categoría de Cultura
195,Juego en equipo de baloncesto,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Juego en equipo de baloncesto dentro de la categoría de Deporte
196,Monólogo de social,Cultura,Teatro,Indoor,18,28,180,True,place_category,Explora una emocionante Monólogo de social dentro de la categoría de Cultura
197,Clase de aeróbics retro,Deporte,Fitness,Outdoor,15,30,180,False,,Explora una emocionante Clase de aeróbics retro dentro de la categoría de Deporte
198,Monólogo de clásica,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Monólogo de clásica dentro de la categoría de Cultura
199,Workshop de clásica culinaria,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Workshop de clásica culinaria dentro de la categoría de Gastronomía
200,Entrenamiento HIIT de 20 minutos,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento HIIT de 20 minutos dentro de la categoría de Deporte
1,Teatro infantil humanidades,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Teatro infantil humanidades dentro de la categoría de Cultura
4,Rutina de pesas para estabilidad,Deporte,Fitness,Outdoor,15,30,30,False,,Explora una emocionante Rutina de pesas para estabilidad dentro de la categoría de Deporte
5,Masterclass de curry,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Masterclass de curry dentro de la categoría de Gastronomía
8,Teatro experimental vintage,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Teatro experimental vintage dentro de la categoría de Cultura
10,Obra de teatro experimental,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Obra de teatro experimental dentro de la categoría de Cultura
15,Musical Drácula,Cultura,Teatro,Indoor,18,28,30,True,place_category,Explora una emocionante Musical Drácula dentro de la categoría de Cultura
17,Teatro infantil fotografía antigua,Cultura,Teatro,Indoor,18,28,45,True,place_category,Explora una emocionante Teatro infantil fotografía antigua dentro de la categoría de Cultura
18,Tour guiado por galería de arte,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Tour guiado por galería de arte dentro de la categoría de Cultura
19,Taller de cocina marroquí,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Taller de cocina marroquí dentro de la categoría de Gastronomía
20,Preparación de paella típico,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Preparación de paella típico dentro de la categoría de Gastronomía
23,Torneo informal de bádminton,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Torneo informal de bádminton dentro de la categoría de Deporte
25,Curso de cocina contemporáneo,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Curso de cocina contemporáneo dentro de la categoría de Gastronomía
26,Práctica de hockey recreativo,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Práctica de hockey recreativo dentro de la categoría de Deporte
27,Circuito de ejercicios arquitectura,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Circuito de ejercicios arquitectura dentro de la categoría de Deporte
28,Curso de cocina retro,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Curso de cocina retro dentro de la categoría de Gastronomía
30,Preparación de ramen típico,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Preparación de ramen típico dentro de la categoría de Gastronomía
32,Exposición temporal de innovación,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Exposición temporal de innovación dentro de la categoría de Cultura
33,Visita nocturna a museo de la ciencia,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Visita nocturna a museo de la ciencia dentro de la categoría de Cultura
34,Sesión de cardio extrema,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Sesión de cardio extrema dentro de la categoría de Deporte
36,Práctica de pádel recreativo,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Práctica de pádel recreativo dentro de la categoría de Deporte
37,Degustación de africana,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Degustación de africana dentro de la categoría de Gastronomía
40,Demostración de cocina brasileña,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Demostración de cocina brasileña dentro de la categoría de Gastronomía
45,TRX novato,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante TRX novato dentro de la categoría de Deporte
49,Taller interactivo en museo histórico,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Taller interactivo en museo histórico dentro de la categoría de Cultura
50,Microteatro contemporánea,Cultura,Teatro,Indoor,18,28,45,True,place_category,Explora una emocionante Microteatro contemporánea dentro de la categoría de Cultura
51,Workshop de minimalista culinaria,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Workshop de minimalista culinaria dentro de la categoría de Gastronomía
55,Boot camp baja,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Boot camp baja dentro de la categoría de Deporte
57,Musical Hamlet,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Musical Hamlet dentro de la categoría de Cultura
58,Recorrido temático por museo nacional,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Recorrido temático por museo nacional dentro de la categoría de Cultura
59,Juego en equipo de ping-pong,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Juego en equipo de ping-pong dentro de la categoría de Deporte
60,Taller de cocina india,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Taller de cocina india dentro de la categoría de Gastronomía
61,Workshop de industrial culinaria,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Workshop de industrial culinaria dentro de la categoría de Gastronomía
71,Práctica de balonmano recreativo,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Práctica de balonmano recreativo dentro de la categoría de Deporte
73,Preparación de sushi típico,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Preparación de sushi típico dentro de la categoría de Gastronomía
74,Curso de cocina fusión,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Curso de cocina fusión dentro de la categoría de Gastronomía
76,Cena temática marroquí,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Cena temática marroquí dentro de la categoría de Gastronomía
79,Teatro experimental retro,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Teatro experimental retro dentro de la categoría de Cultura
81,Workshop de tradicional culinaria,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Workshop de tradicional culinaria dentro de la categoría de Gastronomía
85,Visita al museo de arte contemporáneo,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Visita al museo de arte contemporáneo dentro de la categoría de Cultura
86,Experiencia gastronómica brasileña,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Experiencia gastronómica brasileña dentro de la categoría de Gastronomía
90,Monólogo de moral,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Monólogo de moral dentro de la categoría de Cultura
93,Workshop de fusión culinaria,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Workshop de fusión culinaria dentro de la categoría de Gastronomía
94,Sesión táctica de fútbol,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Sesión táctica de fútbol dentro de la categoría de Deporte
95,Exposición de artista local,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Exposición de artista local dentro de la categoría de Cultura
96,Taller de cocina italiana,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Taller de cocina italiana dentro de la categoría de Gastronomía
100,Cena temática brasileña,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Cena temática brasileña dentro de la categoría de Gastronomía
102,Experiencia gastronómica francesa,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Experiencia gastronómica francesa dentro de la categoría de Gastronomía
103,Obra de teatro tragedia,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Obra de teatro tragedia dentro de la categoría de Cultura
106,Obra de teatro policiaco,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Obra de teatro policiaco dentro de la categoría de Cultura
109,Demostración de cocina japonesa,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Demostración de cocina japonesa dentro de la categoría de Gastronomía
110,Curso de cocina urbano,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Curso de cocina urbano dentro de la categoría de Gastronomía
112,Entrenamiento de pádel para maestro,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento de pádel para maestro dentro de la categoría de Deporte
113,Monólogo de histórica,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Monólogo de histórica dentro de la categoría de Cultura
114,Circuito de ejercicios cine,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Circuito de ejercicios cine dentro de la categoría de Deporte
117,Juego en equipo de rugby,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Juego en equipo de rugby dentro de la categoría de Deporte
119,Demostración de cocina marroquí,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Demostración de cocina marroquí dentro de la categoría de Gastronomía
120,Clase de pizza tradicional,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Clase de pizza tradicional dentro de la categoría de Gastronomía
121,Mini torneo de pádel,Deporte,Deportes de equipo,Outdoor,15,30,45,False,,Explora una emocionante Mini torneo de pádel dentro de la categoría de Deporte
123,Circuito de ejercicios ciencia,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Circuito de ejercicios ciencia dentro de la categoría de Deporte
125,Tour privado por museo histórico,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Tour privado por museo histórico dentro de la categoría de Cultura
127,Entrenamiento funcional profesional,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento funcional profesional dentro de la categoría de Deporte
128,Exposición temporal de naturaleza,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Exposición temporal de naturaleza dentro de la categoría de Cultura
129,Workshop de molecular culinaria,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Workshop de molecular culinaria dentro de la categoría de Gastronomía
132,Experiencia gastronómica japonesa,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Experiencia gastronómica japonesa dentro de la categoría de Gastronomía
134,Demostración de cocina china,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Demostración de cocina china dentro de la categoría de Gastronomía
136,Juego en equipo de bádminton,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Juego en equipo de bádminton dentro de la categoría de Deporte
137,Degustación de europea,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Degustación de europea dentro de la categoría de Gastronomía
138,Rutina de pesas para postura,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Rutina de pesas para postura dentro de la categoría de Deporte
141,Sesión de cardio intensa,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Sesión de cardio intensa dentro de la categoría de Deporte
143,Rutina de pesas para pérdida de peso,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Rutina de pesas para pérdida de peso dentro de la categoría de Deporte
144,Visita virtual al museo Histórico,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Visita virtual al museo Histórico dentro de la categoría de Cultura
150,Torneo informal de voleibol,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Torneo informal de voleibol dentro de la categoría de Deporte
152,TRX principiante,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante TRX principiante dentro de la categoría de Deporte
153,Teatro infantil naturaleza,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Teatro infantil naturaleza dentro de la categoría de Cultura
154,Visita virtual al museo De la Ciudad,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Visita virtual al museo De la Ciudad dentro de la categoría de Cultura
155,Teatro experimental contemporáneo,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Teatro experimental contemporáneo dentro de la categoría de Cultura
160,Exposición temporal de humanidades,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Exposición temporal de humanidades dentro de la categoría de Cultura
162,Masterclass de pizza,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Masterclass de pizza dentro de la categoría de Gastronomía
166,Partido de voleibol en centro recreativo,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Partido de voleibol en centro recreativo dentro de la categoría de Deporte
168,Teatro experimental clásico,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Teatro experimental clásico dentro de la categoría de Cultura
170,Visita nocturna a museo del cine,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Visita nocturna a museo del cine dentro de la categoría de Cultura
171,Tour guiado por museo histórico,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Tour guiado por museo histórico dentro de la categoría de Cultura
172,Obra de teatro comedia,Cultura,Teatro,Indoor,18,28,120,True,place_category,Explora una emocionante Obra de teatro comedia dentro de la categoría de Cultura
174,Taller interactivo en museo de la ciencia,Cultura,Museos,Indoor,18,28,240,True,place_category,Explora una emocionante Taller interactivo en museo de la ciencia dentro de la categoría de Cultura
175,Microteatro familiar,Cultura,Teatro,Indoor,18,28,30,True,place_category,Explora una emocionante Microteatro familiar dentro de la categoría de Cultura
176,Preparación de curry típico,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Preparación de curry típico dentro de la categoría de Gastronomía
177,Workshop de creativa culinaria,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Workshop de creativa culinaria dentro de la categoría de Gastronomía
178,Visita al museo de historia,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Visita al museo de historia dentro de la categoría de Cultura
180,Boot camp intensa,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Boot camp intensa dentro de la categoría de Deporte
185,Torneo informal de ping-pong,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Torneo informal de ping-pong dentro de la categoría de Deporte
187,Experiencia gastronómica mexicana,Gastronomía,Cocina internacional,Indoor,18,28,60,True,,Explora una emocionante Experiencia gastronómica mexicana dentro de la categoría de Gastronomía
188,Partido amistoso de bádminton,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Partido amistoso de bádminton dentro de la categoría de Deporte
189,Recorrido temático por museo local,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Recorrido temático por museo local dentro de la categoría de Cultura
190,Partido de pádel en polideportivo,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Partido de pádel en polideportivo dentro de la categoría de Deporte
191,Cena temática francesa,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Cena temática francesa dentro de la categoría de Gastronomía
193,Entrenamiento de fútbol para profesional,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Entrenamiento de fútbol para profesional dentro de la categoría de Deporte
194,Partido de ping-pong en polideportivo,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Partido de ping-pong en polideportivo dentro de la categoría de Deporte
195,Cena temática india,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Cena temática india dentro de la categoría de Gastronomía
196,Clase de tapas tradicional,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Clase de tapas tradicional dentro de la categoría de Gastronomía
197,Sesión táctica de ping-pong,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Sesión táctica de ping-pong dentro de la categoría de Deporte
200,Obra de teatro fantasía,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Obra de teatro fantasía dentro de la categoría de Cultura
3,Circuito de ejercicios pintura,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Circuito de ejercicios pintura dentro de la categoría de Deporte
4,Visita nocturna a galería de arte,Cultura,Museos,Indoor,18,28,45,True,place_category,Explora una emocionante Visita nocturna a galería de arte dentro de la categoría de Cultura
8,Entrenamiento HIIT de 105 minutos,Deporte,Fitness,Outdoor,15,30,180,False,,Explora una emocionante Entrenamiento HIIT de 105 minutos dentro de la categoría de Deporte
13,Partido amistoso de hockey,Deporte,Deportes de equipo,Outdoor,15,30,120,False,,Explora una emocionante Partido amistoso de hockey dentro de la categoría de Deporte
19,Partido de ping-pong en centro recreativo,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Partido de ping-pong en centro recreativo dentro de la categoría de Deporte
21,Partido de pádel en playa,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Partido de pádel en playa dentro de la categoría de Deporte
27,Partido de balonmano en parque local,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Partido de balonmano en parque local dentro de la categoría de Deporte
35,Partido de bádminton en polideportivo,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Partido de bádminton en polideportivo dentro de la categoría de Deporte
36,Cena temática china,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Cena temática china dentro de la categoría de Gastronomía
37,Entrenamiento de voleibol para medio,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Entrenamiento de voleibol para medio dentro de la categoría de Deporte
39,Microteatro social,Cultura,Teatro,Indoor,18,28,60,True,place_category,Explora una emocionante Microteatro social dentro de la categoría de Cultura
43,Visita al museo de cine,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Visita al museo de cine dentro de la categoría de Cultura
44,Visita nocturna a museo interactivo,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Visita nocturna a museo interactivo dentro de la categoría de Cultura
45,Workshop de artesanal culinaria,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Workshop de artesanal culinaria dentro de la categoría de Gastronomía
47,Tour guiado por museo nacional,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Tour guiado por museo nacional dentro de la categoría de Cultura
50,Visita virtual al museo Regional,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Visita virtual al museo Regional dentro de la categoría de Cultura
54,Sesión de cardio moderada,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Sesión de cardio moderada dentro de la categoría de Deporte
56,Mini torneo de voleibol,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Mini torneo de voleibol dentro de la categoría de Deporte
58,Entrenamiento HIIT de 150 minutos,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Entrenamiento HIIT de 150 minutos dentro de la categoría de Deporte
60,Visita al museo de fotografía,Cultura,Museos,Indoor,18,28,60,True,place_category,Explora una emocionante Visita al museo de fotografía dentro de la categoría de Cultura
61,Visita virtual al museo Artístico,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Visita virtual al museo Artístico dentro de la categoría de Cultura
65,Monólogo de futurista,Cultura,Teatro,Indoor,18,28,240,True,place_category,Explora una emocionante Monólogo de futurista dentro de la categoría de Cultura
67,Entrenamiento de baloncesto para principiante,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Entrenamiento de baloncesto para principiante dentro de la categoría de Deporte
69,Sesión táctica de rugby,Deporte,Deportes de equipo,Outdoor,15,30,120,False,,Explora una emocionante Sesión táctica de rugby dentro de la categoría de Deporte
74,Clase de ceviche tradicional,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Clase de ceviche tradicional dentro de la categoría de Gastronomía
76,Partido de voleibol en playa,Deporte,Deportes de equipo,Outdoor,15,30,90,False,,Explora una emocionante Partido de voleibol en playa dentro de la categoría de Deporte
79,Clase de ramen tradicional,Gastronomía,Cocina internacional,Indoor,18,28,45,True,,Explora una emocionante Clase de ramen tradicional dentro de la categoría de Gastronomía
82,Boot camp media,Deporte,Fitness,Outdoor,15,30,180,False,,Explora una emocionante Boot camp media dentro de la categoría de Deporte
83,Entrenamiento de voleibol para maestro,Deporte,Deportes de equipo,Outdoor,15,30,120,False,,Explora una emocionante Entrenamiento de voleibol para maestro dentro de la categoría de Deporte
86,Experiencia gastronómica marroquí,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Experiencia gastronómica marroquí dentro de la categoría de Gastronomía
91,Práctica de técnicas de hockey,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Práctica de técnicas de hockey dentro de la categoría de Deporte
92,Partido de pádel en zona deportiva,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Partido de pádel en zona deportiva dentro de la categoría de Deporte
94,Visita al museo de escultura,Cultura,Museos,Indoor,18,28,120,True,place_category,Explora una emocionante Visita al museo de escultura dentro de la categoría de Cultura
97,Entrenamiento HIIT de 135 minutos,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Entrenamiento HIIT de 135 minutos dentro de la categoría de Deporte
99,Partido amistoso de voleibol,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Partido amistoso de voleibol dentro de la categoría de Deporte
102,Circuito de ejercicios historia,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Circuito de ejercicios historia dentro de la categoría de Deporte
106,Sesión de cardio adaptativa,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Sesión de cardio adaptativa dentro de la categoría de Deporte
107,Taller interactivo en museo del cine,Cultura,Museos,Indoor,18,28,30,True,place_category,Explora una emocionante Taller interactivo en museo del cine dentro de la categoría de Cultura
115,Sesión táctica de hockey,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Sesión táctica de hockey dentro de la categoría de Deporte
118,Taller de cocina tailandesa,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Taller de cocina tailandesa dentro de la categoría de Gastronomía
123,Rutina de pesas para tonificación,Deporte,Fitness,Outdoor,15,30,60,False,,Explora una emocionante Rutina de pesas para tonificación dentro de la categoría de Deporte
124,Boot camp alta,Deporte,Fitness,Outdoor,15,30,90,False,,Explora una emocionante Boot camp alta dentro de la categoría de Deporte
126,Entrenamiento de rugby para avanzado,Deporte,Deportes de equipo,Outdoor,15,30,30,False,,Explora una emocionante Entrenamiento de rugby para avanzado dentro de la categoría de Deporte
127,Degustación de del medio oriente,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Degustación de del medio oriente dentro de la categoría de Gastronomía
129,Práctica de baloncesto recreativo,Deporte,Deportes de equipo,Outdoor,15,30,120,False,,Explora una emocionante Práctica de baloncesto recreativo dentro de la categoría de Deporte
134,Exposición temporal de ingeniería,Cultura,Museos,Indoor,18,28,180,True,place_category,Explora una emocionante Exposición temporal de ingeniería dentro de la categoría de Cultura
135,Taller de cocina peruana,Gastronomía,Cocina internacional,Indoor,18,28,240,True,,Explora una emocionante Taller de cocina peruana dentro de la categoría de Gastronomía
137,Workshop de moderna culinaria,Gastronomía,Cocina internacional,Indoor,18,28,180,True,,Explora una emocionante Workshop de moderna culinaria dentro de la categoría de Gastronomía
143,Entrenamiento de tenis para maestro,Deporte,Deportes de equipo,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento de tenis para maestro dentro de la categoría de Deporte
147,Cena temática peruana,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Cena temática peruana dentro de la categoría de Gastronomía
148,Preparación de pizza típico,Gastronomía,Cocina internacional,Indoor,18,28,30,True,,Explora una emocionante Preparación de pizza típico dentro de la categoría de Gastronomía
150,Taller interactivo en centro cultural,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Taller interactivo en centro cultural dentro de la categoría de Cultura
153,Clase de iniciación a balonmano,Deporte,Deportes de equipo,Outdoor,15,30,180,False,,Explora una emocionante Clase de iniciación a balonmano dentro de la categoría de Deporte
159,Experiencia gastronómica china,Gastronomía,Cocina internacional,Indoor,18,28,90,True,,Explora una emocionante Experiencia gastronómica china dentro de la categoría de Gastronomía
161,Entrenamiento HIIT de 90 minutos,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Entrenamiento HIIT de 90 minutos dentro de la categoría de Deporte
163,Demostración de cocina peruana,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Demostración de cocina peruana dentro de la categoría de Gastronomía
169,Musical Frankenstein,Cultura,Teatro,Indoor,18,28,90,True,place_category,Explora una emocionante Musical Frankenstein dentro de la categoría de Cultura
177,Partido amistoso de tenis,Deporte,Deportes de equipo,Outdoor,15,30,60,False,,Explora una emocionante Partido amistoso de tenis dentro de la categoría de Deporte
180,Degustación de tradicional,Gastronomía,Cocina internacional,Indoor,18,28,120,True,,Explora una emocionante Degustación de tradicional dentro de la categoría de Gastronomía
181,Exposición de artista de renombre,Cultura,Museos,Indoor,18,28,90,True,place_category,Explora una emocionante Exposición de artista de renombre dentro de la categoría de Cultura
182,Clase de aeróbics futurista,Deporte,Fitness,Outdoor,15,30,180,False,,Explora una emocionante Clase de aeróbics futurista dentro de la categoría de Deporte
183,Sesión de cardio variada,Deporte,Fitness,Outdoor,15,30,120,False,,Explora una emocionante Sesión de cardio variada dentro de la categoría de Deporte
184,Circuito de ejercicios fotografía,Deporte,Fitness,Outdoor,15,30,240,False,,Explora una emocionante Circuito de ejercicios fotografía dentro de la categoría de Deporte
